id,area_ha,perimeter_m,compactness,width_m,height_m,cause
170,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
174,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
181,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
191,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
198,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
199,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
208,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
214,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
217,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
218,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
219,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
220,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
221,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
223,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
227,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
229,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
232,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
236,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
239,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
246,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
248,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
250,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
255,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
258,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
259,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
260,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
267,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
270,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
271,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
272,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
273,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
